time|event|error
0.9|MessageID: CARD_INSERT, Value: 4319401234569890|0
0.9|MessageID: ESD_SENSOR, Value: 997|0
1.2|MessageID: PIN_INIT_START|0
5.16548624456089|MessageID: PIN_STOP|0
5.89929638848227|MessageID: AMOUNT_SEL|0
7.18739622726753|MessageID: WDR_INIT_START|0
11.2855180761362|MessageID: WDR_STOP|0
14.0953959553822|MessageID: CARD_REMOVED|0
14.9953959553822|MessageID: CARD_INSERT, Value: 4319401234562317|0
14.9953959553822|MessageID: ESD_SENSOR, Value: 996|0
15.2953959553822|MessageID: PIN_INIT_START|0
19.2604989879497|MessageID: PIN_STOP|0
20.34788239051|MessageID: AMOUNT_SEL|0
21.7880262139552|MessageID: WDR_INIT_START|0
25.2649549566002|MessageID: WDR_STOP|0
26.6101875172286|MessageID: CARD_REMOVED|0
27.5101875172286|MessageID: CARD_INSERT, Value: 4319401234560848|0
27.5101875172286|MessageID: ESD_SENSOR, Value: 994|0
27.8101875172286|MessageID: PIN_INIT_START|0
35.0529698230723|MessageID: PIN_STOP|0
35.2202974910228|MessageID: AMOUNT_SEL|0
36.378924749576|MessageID: WDR_INIT_START|0
40.5927642374516|MessageID: WDR_STOP|0
44.3243514112165|MessageID: CARD_REMOVED|0
45.2243514112165|MessageID: CARD_INSERT, Value: 4319401234562317|0
45.2243514112165|MessageID: ESD_SENSOR, Value: 997|0
45.5243514112165|MessageID: PIN_INIT_START|0
48.4251385714633|MessageID: PIN_STOP|0
50.4279666879699|MessageID: AMOUNT_SEL|0
51.869056289455|MessageID: WDR_INIT_START|0
53.8909968698598|MessageID: WDR_STOP|0
54.9487923859836|MessageID: CARD_REMOVED|0
55.8487923859836|MessageID: CARD_INSERT, Value: 4319401234564594|0
55.8487923859836|MessageID: ESD_SENSOR, Value: 988|0
56.1487923859836|MessageID: PIN_INIT_START|0
57.8197626114396|MessageID: PIN_STOP|0
58.1317923503087|MessageID: AMOUNT_SEL|0
59.5777336722776|MessageID: WDR_INIT_START|0
61.7555710831114|MessageID: WDR_STOP|0
63.1870795625247|MessageID: CARD_REMOVED|0
64.0870795625247|MessageID: CARD_INSERT, Value: 4319401234560699|0
64.0870795625247|MessageID: ESD_SENSOR, Value: 994|0
64.3870795625247|MessageID: PIN_INIT_START|0
67.2852487789128|MessageID: PIN_STOP|0
67.7998607361527|MessageID: AMOUNT_SEL|0
70.2662075964683|MessageID: WDR_INIT_START|0
72.2926383731514|MessageID: WDR_STOP|0
73.80609006671|MessageID: CARD_REMOVED|0
74.70609006671|MessageID: CARD_INSERT, Value: 4319401234567729|0
74.70609006671|MessageID: ESD_SENSOR, Value: 997|0
75.00609006671|MessageID: PIN_INIT_START|0
81.0937862776146|MessageID: PIN_STOP|0
81.1575452182433|MessageID: AMOUNT_SEL|0
82.8639060645685|MessageID: WDR_INIT_START|0
84.0623844310516|MessageID: WDR_STOP|0
86.7751886233585|MessageID: CARD_REMOVED|0
87.6751886233585|MessageID: CARD_INSERT, Value: 4319401234564538|0
87.6751886233585|MessageID: ESD_SENSOR, Value: 1009|0
87.9751886233585|MessageID: PIN_INIT_START|0
91.8246024161407|MessageID: PIN_STOP|0
91.8735276497362|MessageID: AMOUNT_SEL|0
93.2472559282937|MessageID: WDR_INIT_START|0
96.7382041618888|MessageID: WDR_STOP|0
100.468498754152|MessageID: CARD_REMOVED|0
101.368498754152|MessageID: CARD_INSERT, Value: 4319401234565611|0
101.368498754152|MessageID: ESD_SENSOR, Value: 991|0
101.668498754152|MessageID: PIN_INIT_START|0
105.714588897845|MessageID: PIN_STOP|0
108.098831510869|MessageID: AMOUNT_SEL|0
110.444667949058|MessageID: WDR_INIT_START|0
113.301536439137|MessageID: WDR_STOP|0
115.352577072649|MessageID: CARD_REMOVED|0
116.252577072649|MessageID: CARD_INSERT, Value: 4319401234564538|0
116.252577072649|MessageID: ESD_SENSOR, Value: 995|0
116.552577072649|MessageID: PIN_INIT_START|0
119.210708628837|MessageID: PIN_STOP|0
120.638364198793|MessageID: AMOUNT_SEL|0
121.885369869409|MessageID: WDR_INIT_START|0
127.990683979808|MessageID: WDR_STOP|0
132.126325015655|MessageID: CARD_REMOVED|0
133.026325015655|MessageID: CARD_INSERT, Value: 4319401234569857|0
133.026325015655|MessageID: ESD_SENSOR, Value: 1002|0
133.326325015655|MessageID: PIN_INIT_START|0
138.287165855255|MessageID: PIN_STOP|0
140.334021839285|MessageID: AMOUNT_SEL|0
142.130173116064|MessageID: WDR_INIT_START|0
